games,states,queries,updates,metrics(loss),metrics(policy_accuracy),metrics(policy_loss),metrics(value_loss),param_updates,evaluation_games,wins_as_player_1,wins_as_player_2,collisions,elo,game_length,opening_value,selfplay_wins_for_player_1,selfplay_wins_for_player_2,selfplay_draws,1-ply openings,1-ply openings (sym),3-ply openings,3-ply openings (sym),5-ply openings,5-ply openings (sym),7-ply openings,7-ply openings (sym),1-ply sym ratio,3-ply sym ratio,5-ply sym ratio,7-ply sym ratio,unique_plies,translation_invariant_plies,unique_trajectories,move_31,move_39,move_41,move_49,group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,ring_0,ring_1,ring_2,ring_3,ring_4,opening_ring_0,opening_ring_1,opening_ring_2,opening_ring_3,opening_ring_4,entropy_at_10,entropy_at_20,entropy_at_30
10000,470009,3760072,1000,,,,,,1000.0,259.0,285.0,0.0,-26.550112872877143,45.4463,0.17510098999999998,5201.0,4797.0,2.0,81.0,15.0,9721.0,9074.0,10000.0,10000.0,10000.0,10000.0,0.18518518518518517,0.9334430614134348,1.0,1.0,279341.0,250061.0,10000.0,226.0,213.0,216.0,42.0,537.0,880.0,945.0,1045.0,450.0,436.0,932.0,761.0,460.0,658.0,866.0,786.0,453.0,697.0,94.0,5140.21875,5532.333333333333,5964.4375,6892.125,6632.0,120.53125,107.875,144.375,143.75,94.0,4.388627529144287,4.377616882324219,4.367770195007324
20000,924472,7395776,2000,,,,,0.008241992443799973,1000.0,325.0,347.0,0.0,151.0557804707738,44.2863,0.1596697,4979.0,5017.0,4.0,81.0,15.0,8816.0,8048.0,9990.0,9990.0,10000.0,10000.0,0.18518518518518517,0.9128856624319419,1.0,1.0,267722.0,240518.0,10000.0,233.0,216.0,303.0,79.0,321.0,494.0,898.0,602.0,278.0,378.0,1091.0,1144.0,288.0,573.0,1426.0,293.0,1138.0,831.0,245.0,4697.46875,5573.458333333333,5964.125,7053.25,6929.0,81.03125,120.875,143.25,246.125,245.0,4.308806896209717,4.2244415283203125,4.183134078979492
30000,1367335,10938680,3000,,,,,0.006459953263401985,1000.0,397.0,393.0,0.0,398.3196044838121,41.2402,0.053588300000000005,5310.0,4686.0,4.0,80.0,15.0,7195.0,6565.0,9812.0,9811.0,9999.0,9999.0,0.1875,0.9124391938846421,0.9998980839788014,1.0,240078.0,217016.0,10000.0,79.0,80.0,395.0,24.0,286.0,641.0,847.0,817.0,407.0,267.0,689.0,1247.0,571.0,211.0,1461.0,689.0,1067.0,578.0,222.0,3951.5625,5317.125,5864.0,7174.125,7124.0,93.6875,115.58333333333333,147.5625,205.625,222.0,4.118488788604736,4.066007614135742,4.060763359069824
40000,1779737,14237896,4000,,,,,0.006006037816405296,1000.0,427.0,384.0,0.0,543.8097470287656,37.9615,0.02555578,5075.0,4925.0,0.0,80.0,15.0,4226.0,3877.0,8213.0,8211.0,9691.0,9691.0,0.1875,0.9174159962139139,0.9997564836235237,1.0,201669.0,184039.0,10000.0,17.0,61.0,457.0,21.0,341.0,695.0,737.0,715.0,315.0,440.0,1012.0,1276.0,476.0,414.0,984.0,690.0,1123.0,556.0,226.0,2975.09375,5117.458333333333,5906.75,7440.0,7565.0,87.59375,133.5,130.5,209.875,226.0,3.897432804107666,3.8342080116271973,3.8362061977386475
50000,2159352,17274816,5000,,,,,0.0058162095956504345,1000.0,399.0,412.0,0.0,704.5525186092806,34.6554,0.041415980000000005,5147.0,4848.0,5.0,81.0,15.0,2680.0,2492.0,5675.0,5675.0,8098.0,8098.0,0.18518518518518517,0.9298507462686567,1.0,1.0,154633.0,143432.0,9999.0,160.0,221.0,441.0,141.0,268.0,517.0,727.0,458.0,237.0,290.0,886.0,1245.0,430.0,480.0,1256.0,526.0,1477.0,963.0,240.0,2177.78125,4698.625,5841.375,7781.625,8383.0,68.96875,118.79166666666667,141.375,305.0,240.0,3.591325283050537,3.617260694503784,3.635441303253174
60000,2505906,20047248,6000,,,,,0.005398719571530819,1000.0,414.0,428.0,0.0,913.590640833963,32.0705,0.03147444,4955.0,5041.0,4.0,81.0,15.0,2112.0,1874.0,4353.0,4349.0,6540.0,6540.0,0.18518518518518517,0.8873106060606061,0.9990810934987365,1.0,113197.0,106278.0,9993.0,75.0,258.0,524.0,182.0,183.0,352.0,414.0,446.0,324.0,196.0,840.0,1399.0,363.0,347.0,1246.0,556.0,1986.0,1039.0,309.0,1551.90625,4251.625,5774.5625,8412.125,9315.0,53.71875,116.58333333333333,134.3125,378.125,309.0,3.1101183891296387,3.4142613410949707,3.5188305377960205
70000,2826611,22612888,7000,,,,,0.005335979163646698,1000.0,397.0,385.0,0.0,1026.1228907240506,31.68,0.00856292,4968.0,5028.0,4.0,80.0,15.0,2298.0,2032.0,4131.0,4128.0,6140.0,6140.0,0.1875,0.8842471714534378,0.9992737835875091,1.0,110463.0,103709.0,9981.0,210.0,222.0,527.0,217.0,190.0,343.0,505.0,367.0,229.0,296.0,972.0,1129.0,365.0,335.0,1186.0,453.0,2174.0,1176.0,280.0,1441.5,4264.25,5699.4375,8439.375,9624.0,51.0625,115.08333333333333,123.375,418.75,280.0,3.351483106613159,3.5000205039978027,3.588808298110962
80000,3143411,25147288,8000,,,,,0.0050772433169186115,1000.0,386.0,380.0,0.0,1189.1690488982588,31.426,-0.0007275700000000002,4707.0,5288.0,5.0,81.0,15.0,3161.0,2792.0,5221.0,5218.0,6931.0,6931.0,0.18518518518518517,0.8832647896235368,0.9994253974334418,1.0,103237.0,96698.0,9985.0,192.0,291.0,589.0,187.0,219.0,332.0,391.0,345.0,262.0,314.0,887.0,1134.0,346.0,293.0,1157.0,604.0,2228.0,1259.0,229.0,1307.6875,4230.083333333333,5803.625,8583.625,9365.0,48.40625,111.70833333333333,128.375,435.875,229.0,3.167208194732666,3.399148941040039,3.5780646800994873
90000,3457671,27661368,9000,,,,,0.004786619916558266,1000.0,415.0,378.0,0.0,1303.7639387340346,29.8656,-0.00672004,4875.0,5120.0,5.0,81.0,15.0,1972.0,1728.0,3506.0,3499.0,4888.0,4888.0,0.18518518518518517,0.8762677484787018,0.9980034227039362,1.0,80143.0,75602.0,9839.0,202.0,342.0,986.0,121.0,173.0,279.0,316.0,272.0,229.0,251.0,437.0,1251.0,318.0,296.0,1203.0,509.0,2656.0,1651.0,159.0,964.46875,3944.7916666666665,5787.375,8842.75,9778.0,39.65625,94.04166666666667,125.5,538.375,159.0,2.759638547897339,3.259826183319092,3.517596960067749
100000,3756327,30050616,10000,,,,,0.004623011685907841,1000.0,366.0,370.0,0.0,1395.3955362390268,30.1124,-0.020582140000000002,5270.0,4722.0,8.0,80.0,15.0,1976.0,1684.0,3726.0,3717.0,5096.0,5096.0,0.1875,0.8522267206477733,0.9975845410628019,1.0,86644.0,81308.0,9912.0,250.0,349.0,964.0,171.0,221.0,422.0,525.0,316.0,142.0,223.0,805.0,785.0,341.0,399.0,938.0,531.0,2331.0,1734.0,287.0,1055.21875,3942.875,5823.4375,8750.5,9549.0,50.8125,89.75,116.75,508.125,287.0,2.881856918334961,3.3007659912109375,3.536916494369507
